bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,P,6.0,,,,,0,,0.0,0.0,,,,,,1.90734863281e-06
0.0,,,1,,0.0,,W,7.0,,,,,0,,0.0,0.0,,,,,,1.40200591087
0.0,,,1,,0.0,,G,8.0,,,,,0,,0.0,0.0,,,,,,2.80148911476
0.0,,,1,,0.0,,J,9.0,,,,,0,,0.0,0.0,,,,,,4.20170092583
0.0,,,1,,0.0,,F,10.0,,,,,0,,0.0,0.0,,,,,,5.6023209095
0.0,,,1,,0.0,,S,11.0,,,,,0,,0.0,0.0,,,,,,7.00272703171
0.0,,,1,,0.0,,Q,12.0,,,,,0,,0.0,0.0,,,,,,8.4033639431
0.0,,,1,,0.0,,C,13.0,,,,,0,,0.0,0.0,,,,,,9.8050069809
0.0,,,1,,0.0,,X,14.0,,,,,0,,0.0,0.0,,,,,,11.2049520016
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,12.6028769016
0.0,,,1,,0.0,,M,1.0,,,,,0,,0.0,0.0,,,,,,14.001832962
0.0,,,1,,0.0,,N,2.0,,,,,0,,0.0,0.0,,,,,,15.4019460678
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,16.8026220798
0.0,,,1,,0.0,,Z,4.0,,,,,0,,0.0,0.0,,,,,,18.2030730247
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,19.6045639515
0.0,,,1,,0.0,,P,6.0,,,,,0,,0.0,0.0,,,,,,21.0049099922
0.0,,,1,,0.0,,W,7.0,,,,,0,,0.0,0.0,,,,,,22.4008889198
0.0,,,1,,0.0,,G,8.0,,,,,0,,0.0,0.0,,,,,,23.8043301105
0.0,,,1,,0.0,,J,9.0,,,,,0,,0.0,0.0,,,,,,25.2002460957
0.0,,,1,,0.0,,F,10.0,,,,,0,,0.0,0.0,,,,,,26.6014630795
0.0,,,1,,0.0,,S,11.0,,,,,0,,0.0,0.0,,,,,,28.0019469261
0.0,,,1,,0.0,,Q,12.0,,,,,0,,0.0,0.0,,,,,,29.4022779465
0.0,,,1,,0.0,,C,13.0,,,,,0,,0.0,0.0,,,,,,30.8028240204
0.0,,,1,,0.0,,X,14.0,,,,,0,,0.0,0.0,,,,,,32.2038059235
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,33.6047821045
0.0,,,1,,0.0,,M,1.0,,,,,0,,0.0,0.0,,,,,,35.0001270771
0.0,,,1,,0.0,,N,2.0,,,,,0,,0.0,0.0,,,,,,36.4004878998
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,37.8017570972
0.0,,,1,,0.0,,Z,4.0,,,,,0,,0.0,0.0,,,,,,39.2023179531
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,40.6026160717
