bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,D,11.0,,,,,0,,0.0,0.0,,,,,,3.09944152832e-06
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,1.40086913109
0.0,,,1,,0.0,,R,13.0,,,,,0,,0.0,0.0,,,,,,2.80153512955
0.0,,,1,,0.0,,W,14.0,,,,,0,,0.0,0.0,,,,,,4.20173597336
0.0,,,1,,0.0,,J,0.0,,,,,0,,0.0,0.0,,,,,,5.60240912437
0.0,,,1,,0.0,,K,1.0,,,,,0,,0.0,0.0,,,,,,7.00357198715
0.0,,,1,,0.0,,G,2.0,,,,,0,,0.0,0.0,,,,,,8.40377497673
0.0,,,1,,0.0,,L,3.0,,,,,0,,0.0,0.0,,,,,,9.80501914024
0.0,,,1,,0.0,,V,4.0,,,,,0,,0.0,0.0,,,,,,11.2050571442
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,12.6005890369
0.0,,,1,,0.0,,F,6.0,,,,,0,,0.0,0.0,,,,,,14.0022280216
0.0,,,1,,0.0,,T,7.0,,,,,0,,0.0,0.0,,,,,,15.4024779797
0.0,,,1,,0.0,,C,8.0,,,,,0,,0.0,0.0,,,,,,16.8028659821
0.0,,,1,,0.0,,P,9.0,,,,,0,,0.0,0.0,,,,,,18.2036271095
0.0,,,1,,0.0,,B,10.0,,,,,0,,0.0,0.0,,,,,,19.6000459194
0.0,,,1,,0.0,,D,11.0,,,,,0,,0.0,0.0,,,,,,21.0003020763
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,22.40041399
0.0,,,1,,0.0,,R,13.0,,,,,0,,0.0,0.0,,,,,,23.8014709949
0.0,,,1,,0.0,,W,14.0,,,,,0,,0.0,0.0,,,,,,25.2023439407
0.0,,,1,,0.0,,J,0.0,,,,,0,,0.0,0.0,,,,,,26.6019740105
0.0,,,1,,0.0,,K,1.0,,,,,0,,0.0,0.0,,,,,,28.0024261475
0.0,,,1,,0.0,,G,2.0,,,,,0,,0.0,0.0,,,,,,29.403331995
0.0,,,1,,0.0,,L,3.0,,,,,0,,0.0,0.0,,,,,,30.8036191463
0.0,,,1,,0.0,,V,4.0,,,,,0,,0.0,0.0,,,,,,32.2039279938
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,33.6002731323
0.0,,,1,,0.0,,F,6.0,,,,,0,,0.0,0.0,,,,,,35.0007240772
0.0,,,1,,0.0,,T,7.0,,,,,0,,0.0,0.0,,,,,,36.4017369747
0.0,,,1,,0.0,,C,8.0,,,,,0,,0.0,0.0,,,,,,37.8026139736
0.0,,,1,,0.0,,P,9.0,,,,,0,,0.0,0.0,,,,,,39.202778101
0.0,,,1,,0.0,,B,10.0,,,,,0,,0.0,0.0,,,,,,40.6040680408
0.0,,,1,,0.0,,D,11.0,,,,,0,,0.0,0.0,,,,,,42.0040650368
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,43.404859066
0.0,,,1,,0.0,,R,13.0,,,,,0,,0.0,0.0,,,,,,44.8003001213
0.0,,,1,,0.0,,W,14.0,,,,,0,,0.0,0.0,,,,,,46.2009620667
0.0,,,1,,0.0,,J,0.0,,,,,0,,0.0,0.0,,,,,,47.6019079685
0.0,,,1,,0.0,,K,1.0,,,,,0,,0.0,0.0,,,,,,49.0028150082
0.0,,,1,,0.0,,G,2.0,,,,,0,,0.0,0.0,,,,,,50.4033229351
0.0,,,1,,0.0,,L,3.0,,,,,0,,0.0,0.0,,,,,,51.804115057
0.0,,,1,,0.0,,V,4.0,,,,,0,,0.0,0.0,,,,,,53.2046940327
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,54.6039059162
0.0,,,1,,0.0,,F,6.0,,,,,0,,0.0,0.0,,,,,,56.0049769878
0.0,,,1,,0.0,,T,7.0,,,,,0,,0.0,0.0,,,,,,57.4018290043
0.0,,,1,,0.0,,C,8.0,,,,,0,,0.0,0.0,,,,,,58.8036160469
0.0,,,1,,0.0,,P,9.0,,,,,0,,0.0,0.0,,,,,,60.2021119595
0.0,,,1,,0.0,,B,10.0,,,,,0,,0.0,0.0,,,,,,61.6031720638
0.0,,,1,,0.0,,D,11.0,,,,,0,,0.0,0.0,,,,,,63.0034990311
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,64.4040060043
0.0,,,1,,0.0,,R,13.0,,,,,0,,0.0,0.0,,,,,,65.8048839569
0.0,,,1,,0.0,,W,14.0,,,,,0,,0.0,0.0,,,,,,67.200906992
0.0,,,1,,0.0,,J,0.0,,,,,0,,0.0,0.0,,,,,,68.6011500359
0.0,,,1,,0.0,,K,1.0,,,,,0,,0.0,0.0,,,,,,70.0018651485
0.0,,,1,,0.0,,G,2.0,,,,,0,,0.0,0.0,,,,,,71.4031369686
0.0,,,1,,0.0,,L,3.0,,,,,0,,0.0,0.0,,,,,,72.8031010628
