bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,W,3.0,,,,,0,,0.0,0.0,,,,,,4.05311584473e-06
0.0,,,1,,0.0,,N,4.0,,,,,0,,0.0,0.0,,,,,,1.40026187897
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,2.80111789703
0.0,,,1,,0.0,,F,6.0,,,,,0,,0.0,0.0,,,,,,4.20098400116
0.0,,,1,,0.0,,J,7.0,,,,,0,,0.0,0.0,,,,,,5.60226106644
0.0,,,1,,0.0,,Z,8.0,,,,,0,,0.0,0.0,,,,,,7.00305390358
0.0,,,1,,0.0,,K,9.0,,,,,0,,0.0,0.0,,,,,,8.40326786041
0.0,,,1,,0.0,,Q,10.0,,,,,0,,0.0,0.0,,,,,,9.80396485329
0.0,,,1,,0.0,,T,11.0,,,,,0,,0.0,0.0,,,,,,11.2003688812
0.0,,,1,,0.0,,B,12.0,,,,,0,,0.0,0.0,,,,,,12.6002168655
0.0,,,1,,0.0,,V,13.0,,,,,0,,0.0,0.0,,,,,,14.0017340183
0.0,,,1,,0.0,,R,14.0,,,,,0,,0.0,0.0,,,,,,15.4020719528
0.0,,,1,,0.0,,P,0.0,,,,,0,,0.0,0.0,,,,,,16.8032288551
0.0,,,1,,0.0,,G,1.0,,,,,0,,0.0,0.0,,,,,,18.2035040855
0.0,,,1,,0.0,,M,2.0,,,,,0,,0.0,0.0,,,,,,19.604197979
0.0,,,1,,0.0,,W,3.0,,,,,0,,0.0,0.0,,,,,,21.0045258999
0.0,,,1,,0.0,,N,4.0,,,,,0,,0.0,0.0,,,,,,22.4037618637
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,23.8050000668
0.0,,,1,,0.0,,F,6.0,,,,,0,,0.0,0.0,,,,,,25.2021579742
0.0,,,1,,0.0,,J,7.0,,,,,0,,0.0,0.0,,,,,,26.601804018
0.0,,,1,,0.0,,Z,8.0,,,,,0,,0.0,0.0,,,,,,28.0013620853
0.0,,,1,,0.0,,K,9.0,,,,,0,,0.0,0.0,,,,,,29.4018919468
0.0,,,1,,0.0,,Q,10.0,,,,,0,,0.0,0.0,,,,,,30.8027970791
0.0,,,1,,0.0,,T,11.0,,,,,0,,0.0,0.0,,,,,,32.203783989
0.0,,,1,,0.0,,B,12.0,,,,,0,,0.0,0.0,,,,,,33.6043319702
0.0,,,1,,0.0,,V,13.0,,,,,0,,0.0,0.0,,,,,,35.0002679825
0.0,,,1,,0.0,,R,14.0,,,,,0,,0.0,0.0,,,,,,36.4006140232
0.0,,,1,,0.0,,P,0.0,,,,,0,,0.0,0.0,,,,,,37.8017170429
0.0,,,1,,0.0,,G,1.0,,,,,0,,0.0,0.0,,,,,,39.2020828724
0.0,,,1,,0.0,,M,2.0,,,,,0,,0.0,0.0,,,,,,40.6036059856
0.0,,,1,,0.0,,W,3.0,,,,,0,,0.0,0.0,,,,,,42.0039539337
0.0,,,1,,0.0,,N,4.0,,,,,0,,0.0,0.0,,,,,,43.4046599865
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,44.8001959324
0.0,,,1,,0.0,,F,6.0,,,,,0,,0.0,0.0,,,,,,46.2005898952
0.0,,,1,,0.0,,J,7.0,,,,,0,,0.0,0.0,,,,,,47.6011679173
0.0,,,1,,0.0,,Z,8.0,,,,,0,,0.0,0.0,,,,,,49.0023610592
0.0,,,1,,0.0,,K,9.0,,,,,0,,0.0,0.0,,,,,,50.4030909538
0.0,,,1,,0.0,,Q,10.0,,,,,0,,0.0,0.0,,,,,,51.8035290241
0.0,,,1,,0.0,,T,11.0,,,,,0,,0.0,0.0,,,,,,53.204335928
0.0,,,1,,0.0,,B,12.0,,,,,0,,0.0,0.0,,,,,,54.6003060341
0.0,,,1,,0.0,,V,13.0,,,,,0,,0.0,0.0,,,,,,56.0045499802
0.0,,,1,,0.0,,R,14.0,,,,,0,,0.0,0.0,,,,,,57.4016339779
0.0,,,1,,0.0,,P,0.0,,,,,0,,0.0,0.0,,,,,,58.8009519577
