bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,V,14.0,,,,,0,,0.0,0.0,,,,,,2.86102294922e-06
0.0,,,1,,0.0,,M,0.0,,,,,0,,0.0,0.0,,,,,,1.40035605431
0.0,,,1,,0.0,,N,1.0,,,,,0,,0.0,0.0,,,,,,2.80470299721
0.0,,,1,,0.0,,J,2.0,,,,,0,,0.0,0.0,,,,,,4.20133495331
0.0,,,1,,0.0,,G,3.0,,,,,0,,0.0,0.0,,,,,,5.60244083405
0.0,,,1,,0.0,,P,4.0,,,,,0,,0.0,0.0,,,,,,7.00356984138
0.0,,,1,,0.0,,T,5.0,,,,,0,,0.0,0.0,,,,,,8.4041428566
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,9.8038790226
0.0,,,1,,0.0,,R,7.0,,,,,0,,0.0,0.0,,,,,,11.2049849033
0.0,,,1,,0.0,,F,8.0,,,,,0,,0.0,0.0,,,,,,12.6007859707
0.0,,,1,,0.0,,B,9.0,,,,,0,,0.0,0.0,,,,,,14.0012848377
0.0,,,1,,0.0,,L,10.0,,,,,0,,0.0,0.0,,,,,,15.4017848969
0.0,,,1,,0.0,,C,11.0,,,,,0,,0.0,0.0,,,,,,16.8024599552
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,18.2035498619
0.0,,,1,,0.0,,S,13.0,,,,,0,,0.0,0.0,,,,,,19.6044449806
0.0,,,1,,0.0,,V,14.0,,,,,0,,0.0,0.0,,,,,,21.0003349781
0.0,,,1,,0.0,,M,0.0,,,,,0,,0.0,0.0,,,,,,22.4007120132
0.0,,,1,,0.0,,N,1.0,,,,,0,,0.0,0.0,,,,,,23.8017868996
0.0,,,1,,0.0,,J,2.0,,,,,0,,0.0,0.0,,,,,,25.20033288
0.0,,,1,,0.0,,G,3.0,,,,,0,,0.0,0.0,,,,,,26.6025669575
0.0,,,1,,0.0,,P,4.0,,,,,0,,0.0,0.0,,,,,,28.0021939278
0.0,,,1,,0.0,,T,5.0,,,,,0,,0.0,0.0,,,,,,29.4023749828
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,30.8038029671
0.0,,,1,,0.0,,R,7.0,,,,,0,,0.0,0.0,,,,,,32.2035889626
0.0,,,1,,0.0,,F,8.0,,,,,0,,0.0,0.0,,,,,,33.604282856
0.0,,,1,,0.0,,B,9.0,,,,,0,,0.0,0.0,,,,,,35.0007119179
0.0,,,1,,0.0,,L,10.0,,,,,0,,0.0,0.0,,,,,,36.401211977
0.0,,,1,,0.0,,C,11.0,,,,,0,,0.0,0.0,,,,,,37.8020858765
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,39.2027318478
0.0,,,1,,0.0,,S,13.0,,,,,0,,0.0,0.0,,,,,,40.6036269665
0.0,,,1,,0.0,,V,14.0,,,,,0,,0.0,0.0,,,,,,42.0035669804
0.0,,,1,,0.0,,M,0.0,,,,,0,,0.0,0.0,,,,,,43.4049680233
0.0,,,1,,0.0,,N,1.0,,,,,0,,0.0,0.0,,,,,,44.804612875
0.0,,,1,,0.0,,J,2.0,,,,,0,,0.0,0.0,,,,,,46.2014169693
0.0,,,1,,0.0,,G,3.0,,,,,0,,0.0,0.0,,,,,,47.6012220383
0.0,,,1,,0.0,,P,4.0,,,,,0,,0.0,0.0,,,,,,49.0023748875
0.0,,,1,,0.0,,T,5.0,,,,,0,,0.0,0.0,,,,,,50.4030349255
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,51.803237915
0.0,,,1,,0.0,,R,7.0,,,,,0,,0.0,0.0,,,,,,53.2039978504
0.0,,,1,,0.0,,F,8.0,,,,,0,,0.0,0.0,,,,,,54.6004300117
0.0,,,1,,0.0,,B,9.0,,,,,0,,0.0,0.0,,,,,,56.0005168915
0.0,,,1,,0.0,,L,10.0,,,,,0,,0.0,0.0,,,,,,57.4048409462
0.0,,,1,,0.0,,C,11.0,,,,,0,,0.0,0.0,,,,,,58.8005619049
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,60.2016320229
0.0,,,1,,0.0,,S,13.0,,,,,0,,0.0,0.0,,,,,,61.6021778584
0.0,,,1,,0.0,,V,14.0,,,,,0,,0.0,0.0,,,,,,63.003289938
0.0,,,1,,0.0,,M,0.0,,,,,0,,0.0,0.0,,,,,,64.4029638767
0.0,,,1,,0.0,,N,1.0,,,,,0,,0.0,0.0,,,,,,65.8041770458
0.0,,,1,,0.0,,J,2.0,,,,,0,,0.0,0.0,,,,,,67.2046518326
0.0,,,1,,0.0,,G,3.0,,,,,0,,0.0,0.0,,,,,,68.6004469395
0.0,,,1,,0.0,,P,4.0,,,,,0,,0.0,0.0,,,,,,70.0013549328
0.0,,,1,,0.0,,T,5.0,,,,,0,,0.0,0.0,,,,,,71.4018919468
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,72.8024349213
0.0,,,1,,0.0,,R,7.0,,,,,0,,0.0,0.0,,,,,,74.2036929131
0.0,,,1,,0.0,,F,8.0,,,,,0,,0.0,0.0,,,,,,75.6037039757
0.0,,,1,,0.0,,B,9.0,,,,,0,,0.0,0.0,,,,,,77.0049109459
0.0,,,1,,0.0,,L,10.0,,,,,0,,0.0,0.0,,,,,,78.4006819725
0.0,,,1,,0.0,,C,11.0,,,,,0,,0.0,0.0,,,,,,79.8008198738
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,81.2019619942
0.0,,,1,,0.0,,S,13.0,,,,,0,,0.0,0.0,,,,,,82.6034338474
0.0,,,1,,0.0,,V,14.0,,,,,0,,0.0,0.0,,,,,,84.0032589436
0.0,,,1,,0.0,,M,0.0,,,,,0,,0.0,0.0,,,,,,85.4038250446
0.0,,,1,,0.0,,N,1.0,,,,,0,,0.0,0.0,,,,,,86.8039770126
0.0,,,1,,0.0,,J,2.0,,,,,0,,0.0,0.0,,,,,,88.2006700039
0.0,,,1,,0.0,,G,3.0,,,,,0,,0.0,0.0,,,,,,89.6042468548
0.0,,,1,,0.0,,P,4.0,,,,,0,,0.0,0.0,,,,,,91.0001599789
0.0,,,1,,0.0,,T,5.0,,,,,0,,0.0,0.0,,,,,,92.4013109207
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,93.8020038605
0.0,,,1,,0.0,,R,7.0,,,,,0,,0.0,0.0,,,,,,95.2014689445
0.0,,,1,,0.0,,F,8.0,,,,,0,,0.0,0.0,,,,,,96.6024549007
0.0,,,1,,0.0,,B,9.0,,,,,0,,0.0,0.0,,,,,,98.003636837
0.0,,,1,,0.0,,L,10.0,,,,,0,,0.0,0.0,,,,,,99.4043290615
0.0,,,1,,0.0,,C,11.0,,,,,0,,0.0,0.0,,,,,,100.804699898
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,102.200273991
0.0,,,1,,0.0,,S,13.0,,,,,0,,0.0,0.0,,,,,,103.60118103
0.0,,,1,,0.0,,V,14.0,,,,,0,,0.0,0.0,,,,,,105.002331018
0.0,,,1,,0.0,,M,0.0,,,,,0,,0.0,0.0,,,,,,106.403293848
0.0,,,1,,0.0,,N,1.0,,,,,0,,0.0,0.0,,,,,,107.80379796
0.0,,,1,,0.0,,J,2.0,,,,,0,,0.0,0.0,,,,,,109.203930855
0.0,,,1,,0.0,,G,3.0,,,,,0,,0.0,0.0,,,,,,110.604820967
0.0,,,1,,0.0,,P,4.0,,,,,0,,0.0,0.0,,,,,,112.000784874
0.0,,,1,,0.0,,T,5.0,,,,,0,,0.0,0.0,,,,,,113.40100193
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,114.801591873
0.0,,,1,,0.0,,R,7.0,,,,,0,,0.0,0.0,,,,,,116.202965975
0.0,,,1,,0.0,,F,8.0,,,,,0,,0.0,0.0,,,,,,117.603543997
