bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,R,1.0,,,,,0,,0.0,0.0,,,,,,4.05311584473e-06
0.0,,,1,,0.0,,C,2.0,,,,,0,,0.0,0.0,,,,,,1.40463709831
0.0,,,1,,0.0,,H,3.0,,,,,0,,0.0,0.0,,,,,,2.80107617378
0.0,,,1,,0.0,,J,4.0,,,,,0,,0.0,0.0,,,,,,4.2017519474
0.0,,,1,,0.0,,S,5.0,,,,,0,,0.0,0.0,,,,,,5.60237002373
0.0,,,1,,0.0,,Q,6.0,,,,,0,,0.0,0.0,,,,,,7.00348901749
0.0,,,1,,0.0,,V,7.0,,,,,0,,0.0,0.0,,,,,,8.40353012085
0.0,,,1,,0.0,,K,8.0,,,,,0,,0.0,0.0,,,,,,9.80483198166
0.0,,,1,,0.0,,N,9.0,,,,,0,,0.0,0.0,,,,,,11.2003910542
0.0,,,1,,0.0,,G,10.0,,,,,0,,0.0,0.0,,,,,,12.6012370586
0.0,,,1,,0.0,,W,11.0,,,,,0,,0.0,0.0,,,,,,14.0013661385
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,15.4029481411
0.0,,,1,,0.0,,F,13.0,,,,,0,,0.0,0.0,,,,,,16.8032300472
0.0,,,1,,0.0,,M,14.0,,,,,0,,0.0,0.0,,,,,,18.2042760849
0.0,,,1,,0.0,,D,0.0,,,,,0,,0.0,0.0,,,,,,19.6046030521
0.0,,,1,,0.0,,R,1.0,,,,,0,,0.0,0.0,,,,,,21.0000460148
0.0,,,1,,0.0,,C,2.0,,,,,0,,0.0,0.0,,,,,,22.4049479961
0.0,,,1,,0.0,,H,3.0,,,,,0,,0.0,0.0,,,,,,23.801254034
0.0,,,1,,0.0,,J,4.0,,,,,0,,0.0,0.0,,,,,,25.2006449699
0.0,,,1,,0.0,,S,5.0,,,,,0,,0.0,0.0,,,,,,26.6013050079
0.0,,,1,,0.0,,Q,6.0,,,,,0,,0.0,0.0,,,,,,28.0018949509
0.0,,,1,,0.0,,V,7.0,,,,,0,,0.0,0.0,,,,,,29.4029541016
0.0,,,1,,0.0,,K,8.0,,,,,0,,0.0,0.0,,,,,,30.8040270805
0.0,,,1,,0.0,,N,9.0,,,,,0,,0.0,0.0,,,,,,32.2004990578
0.0,,,1,,0.0,,G,10.0,,,,,0,,0.0,0.0,,,,,,33.6049950123
0.0,,,1,,0.0,,W,11.0,,,,,0,,0.0,0.0,,,,,,35.0013411045
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,36.4017751217
0.0,,,1,,0.0,,F,13.0,,,,,0,,0.0,0.0,,,,,,37.8027160168
0.0,,,1,,0.0,,M,14.0,,,,,0,,0.0,0.0,,,,,,39.2036731243
0.0,,,1,,0.0,,D,0.0,,,,,0,,0.0,0.0,,,,,,40.604432106
0.0,,,1,,0.0,,R,1.0,,,,,0,,0.0,0.0,,,,,,42.0001521111
0.0,,,1,,0.0,,C,2.0,,,,,0,,0.0,0.0,,,,,,43.4005520344
0.0,,,1,,0.0,,H,3.0,,,,,0,,0.0,0.0,,,,,,44.8016660213
0.0,,,1,,0.0,,J,4.0,,,,,0,,0.0,0.0,,,,,,46.2027020454
0.0,,,1,,0.0,,S,5.0,,,,,0,,0.0,0.0,,,,,,47.6027929783
0.0,,,1,,0.0,,Q,6.0,,,,,0,,0.0,0.0,,,,,,49.0040559769
0.0,,,1,,0.0,,V,7.0,,,,,0,,0.0,0.0,,,,,,50.4042961597
0.0,,,1,,0.0,,K,8.0,,,,,0,,0.0,0.0,,,,,,51.8001921177
