bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,L,9.0,,,,,0,,0.0,0.0,,,,,,2.86102294922e-06
0.0,,,1,,0.0,,H,10.0,,,,,0,,0.0,0.0,,,,,,1.40482497215
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,2.80123400688
0.0,,,1,,0.0,,J,12.0,,,,,0,,0.0,0.0,,,,,,4.20192790031
0.0,,,1,,0.0,,R,13.0,,,,,0,,0.0,0.0,,,,,,5.6027238369
0.0,,,1,,0.0,,N,14.0,,,,,0,,0.0,0.0,,,,,,7.00310492516
0.0,,,1,,0.0,,T,0.0,,,,,0,,0.0,0.0,,,,,,8.40428185463
0.0,,,1,,0.0,,Q,1.0,,,,,0,,0.0,0.0,,,,,,9.80444192886
0.0,,,1,,0.0,,B,2.0,,,,,0,,0.0,0.0,,,,,,11.2049379349
0.0,,,1,,0.0,,Z,3.0,,,,,0,,0.0,0.0,,,,,,12.601544857
0.0,,,1,,0.0,,X,4.0,,,,,0,,0.0,0.0,,,,,,14.0014259815
0.0,,,1,,0.0,,M,5.0,,,,,0,,0.0,0.0,,,,,,15.4030809402
0.0,,,1,,0.0,,V,6.0,,,,,0,,0.0,0.0,,,,,,16.8029229641
0.0,,,1,,0.0,,C,7.0,,,,,0,,0.0,0.0,,,,,,18.2043540478
0.0,,,1,,0.0,,S,8.0,,,,,0,,0.0,0.0,,,,,,19.6049120426
0.0,,,1,,0.0,,L,9.0,,,,,0,,0.0,0.0,,,,,,21.000977993
0.0,,,1,,0.0,,H,10.0,,,,,0,,0.0,0.0,,,,,,22.4048490524
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,23.8007619381
0.0,,,1,,0.0,,J,12.0,,,,,0,,0.0,0.0,,,,,,25.2013590336
0.0,,,1,,0.0,,R,13.0,,,,,0,,0.0,0.0,,,,,,26.6018869877
0.0,,,1,,0.0,,N,14.0,,,,,0,,0.0,0.0,,,,,,28.0029330254
0.0,,,1,,0.0,,T,0.0,,,,,0,,0.0,0.0,,,,,,29.4031410217
0.0,,,1,,0.0,,Q,1.0,,,,,0,,0.0,0.0,,,,,,30.8044128418
0.0,,,1,,0.0,,B,2.0,,,,,0,,0.0,0.0,,,,,,32.200209856
0.0,,,1,,0.0,,Z,3.0,,,,,0,,0.0,0.0,,,,,,33.6001729965
0.0,,,1,,0.0,,X,4.0,,,,,0,,0.0,0.0,,,,,,35.0010399818
0.0,,,1,,0.0,,M,5.0,,,,,0,,0.0,0.0,,,,,,36.4020800591
0.0,,,1,,0.0,,V,6.0,,,,,0,,0.0,0.0,,,,,,37.802448988
0.0,,,1,,0.0,,C,7.0,,,,,0,,0.0,0.0,,,,,,39.204200983
0.0,,,1,,0.0,,S,8.0,,,,,0,,0.0,0.0,,,,,,40.6037528515
0.0,,,1,,0.0,,L,9.0,,,,,0,,0.0,0.0,,,,,,42.0047829151
0.0,,,1,,0.0,,H,10.0,,,,,0,,0.0,0.0,,,,,,43.4006650448
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,44.8016059399
