bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,P,10.0,,,,,0,,0.0,0.0,,,,,,2.86102294922e-06
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,1.4001019001
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,2.80128502846
0.0,,,1,,0.0,,J,13.0,,,,,0,,0.0,0.0,,,,,,4.2015838623
0.0,,,1,,0.0,,D,14.0,,,,,0,,0.0,0.0,,,,,,5.60195493698
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,7.00314497948
0.0,,,1,,0.0,,C,1.0,,,,,0,,0.0,0.0,,,,,,8.40391087532
0.0,,,1,,0.0,,S,2.0,,,,,0,,0.0,0.0,,,,,,9.804708004
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,11.2048180103
0.0,,,1,,0.0,,L,4.0,,,,,0,,0.0,0.0,,,,,,12.600317955
0.0,,,1,,0.0,,R,5.0,,,,,0,,0.0,0.0,,,,,,14.0013039112
0.0,,,1,,0.0,,K,6.0,,,,,0,,0.0,0.0,,,,,,15.4017000198
0.0,,,1,,0.0,,X,7.0,,,,,0,,0.0,0.0,,,,,,16.8023538589
0.0,,,1,,0.0,,M,8.0,,,,,0,,0.0,0.0,,,,,,18.2036848068
0.0,,,1,,0.0,,H,9.0,,,,,0,,0.0,0.0,,,,,,19.6049249172
0.0,,,1,,0.0,,P,10.0,,,,,0,,0.0,0.0,,,,,,21.0030899048
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,22.4008510113
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,23.8046479225
0.0,,,1,,0.0,,J,13.0,,,,,0,,0.0,0.0,,,,,,25.2021889687
0.0,,,1,,0.0,,D,14.0,,,,,0,,0.0,0.0,,,,,,26.601380825
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,28.0016419888
0.0,,,1,,0.0,,C,1.0,,,,,0,,0.0,0.0,,,,,,29.4018008709
0.0,,,1,,0.0,,S,2.0,,,,,0,,0.0,0.0,,,,,,30.8038809299
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,32.2041788101
0.0,,,1,,0.0,,L,4.0,,,,,0,,0.0,0.0,,,,,,33.6045429707
0.0,,,1,,0.0,,R,5.0,,,,,0,,0.0,0.0,,,,,,35.0049369335
0.0,,,1,,0.0,,K,6.0,,,,,0,,0.0,0.0,,,,,,36.4005868435
0.0,,,1,,0.0,,X,7.0,,,,,0,,0.0,0.0,,,,,,37.8008038998
0.0,,,1,,0.0,,M,8.0,,,,,0,,0.0,0.0,,,,,,39.2021160126
0.0,,,1,,0.0,,H,9.0,,,,,0,,0.0,0.0,,,,,,40.6030299664
0.0,,,1,,0.0,,P,10.0,,,,,0,,0.0,0.0,,,,,,42.0026228428
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,43.4038770199
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,44.8003149033
0.0,,,1,,0.0,,J,13.0,,,,,0,,0.0,0.0,,,,,,46.2006449699
0.0,,,1,,0.0,,D,14.0,,,,,0,,0.0,0.0,,,,,,47.6004879475
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,49.0020678043
0.0,,,1,,0.0,,C,1.0,,,,,0,,0.0,0.0,,,,,,50.4020709991
0.0,,,1,,0.0,,S,2.0,,,,,0,,0.0,0.0,,,,,,51.8034498692
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,53.2039549351
0.0,,,1,,0.0,,L,4.0,,,,,0,,0.0,0.0,,,,,,54.6042108536
0.0,,,1,,0.0,,R,5.0,,,,,0,,0.0,0.0,,,,,,56.0048048496
0.0,,,1,,0.0,,K,6.0,,,,,0,,0.0,0.0,,,,,,57.4040338993
0.0,,,1,,0.0,,X,7.0,,,,,0,,0.0,0.0,,,,,,58.8003818989
0.0,,,1,,0.0,,M,8.0,,,,,0,,0.0,0.0,,,,,,60.2001709938
0.0,,,1,,0.0,,H,9.0,,,,,0,,0.0,0.0,,,,,,61.6029698849
0.0,,,1,,0.0,,P,10.0,,,,,0,,0.0,0.0,,,,,,63.0019609928
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,64.4024128914
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,65.8031899929
0.0,,,1,,0.0,,J,13.0,,,,,0,,0.0,0.0,,,,,,67.2040848732
0.0,,,1,,0.0,,D,14.0,,,,,0,,0.0,0.0,,,,,,68.6041488647
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,70.0008249283
0.0,,,1,,0.0,,C,1.0,,,,,0,,0.0,0.0,,,,,,71.400621891
0.0,,,1,,0.0,,S,2.0,,,,,0,,0.0,0.0,,,,,,72.8010809422
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,74.2024829388
0.0,,,1,,0.0,,L,4.0,,,,,0,,0.0,0.0,,,,,,75.6029949188
0.0,,,1,,0.0,,R,5.0,,,,,0,,0.0,0.0,,,,,,77.0032968521
0.0,,,1,,0.0,,K,6.0,,,,,0,,0.0,0.0,,,,,,78.4046709538
0.0,,,1,,0.0,,X,7.0,,,,,0,,0.0,0.0,,,,,,79.8048498631
0.0,,,1,,0.0,,M,8.0,,,,,0,,0.0,0.0,,,,,,81.2000968456
0.0,,,1,,0.0,,H,9.0,,,,,0,,0.0,0.0,,,,,,82.6022720337
0.0,,,1,,0.0,,P,10.0,,,,,0,,0.0,0.0,,,,,,84.0019059181
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,85.4022498131
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,86.8035368919
0.0,,,1,,0.0,,J,13.0,,,,,0,,0.0,0.0,,,,,,88.2042679787
0.0,,,1,,0.0,,D,14.0,,,,,0,,0.0,0.0,,,,,,89.6050188541
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,91.0046799183
0.0,,,1,,0.0,,C,1.0,,,,,0,,0.0,0.0,,,,,,92.4013268948
0.0,,,1,,0.0,,S,2.0,,,,,0,,0.0,0.0,,,,,,93.8019587994
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,95.200966835
0.0,,,1,,0.0,,L,4.0,,,,,0,,0.0,0.0,,,,,,96.6010580063
0.0,,,1,,0.0,,R,5.0,,,,,0,,0.0,0.0,,,,,,98.002311945
0.0,,,1,,0.0,,K,6.0,,,,,0,,0.0,0.0,,,,,,99.4027500153
0.0,,,1,,0.0,,X,7.0,,,,,0,,0.0,0.0,,,,,,100.804018021
0.0,,,1,,0.0,,M,8.0,,,,,0,,0.0,0.0,,,,,,102.204212904
0.0,,,1,,0.0,,H,9.0,,,,,0,,0.0,0.0,,,,,,103.600389957
0.0,,,1,,0.0,,P,10.0,,,,,0,,0.0,0.0,,,,,,105.000375986
0.0,,,1,,0.0,,F,11.0,,,,,0,,0.0,0.0,,,,,,106.401028872
0.0,,,1,,0.0,,Z,12.0,,,,,0,,0.0,0.0,,,,,,107.801517963
0.0,,,1,,0.0,,J,13.0,,,,,0,,0.0,0.0,,,,,,109.202423811
0.0,,,1,,0.0,,D,14.0,,,,,0,,0.0,0.0,,,,,,110.603531837
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,112.004426003
0.0,,,1,,0.0,,C,1.0,,,,,0,,0.0,0.0,,,,,,113.40464282
0.0,,,1,,0.0,,S,2.0,,,,,0,,0.0,0.0,,,,,,114.805061817
0.0,,,1,,0.0,,B,3.0,,,,,0,,0.0,0.0,,,,,,116.200857878
